math_score,reading_score,writing_score,Placement_score,club join year,placement_count
60,82,104,126,148,170
73,83,98,97,2019,3
62,83,85,83,2019,2
73,92,81,84,2020,2
60,89,75,86,2021,3
64,96,89,85,2018,3
79,92,85,86,2018,3
61,89,87,91,2021,3
66,77,91,92,2021,3
67,84,86,84,2018,2
90,91,77,94,2018,3
75,94,79,87,2020,3
71,88,82,91,2020,3
60,94,40,79,2020,2
61,89,80,90,2018,3
80,50,89,80,2020,2
67,89,85,82,2019,2
62,77,85,92,2019,3
69,78,82,97,2020,3
65,90,81,50,2021,3
80,77,95,98,2021,3
81,84,83,89,2020,3
80,79,84,84,2018,2
73,92,81,83,2021,2
63,91,76,84,2020,2
73,76,81,78,2021,2
75,78,84,92,2020,2
87,79,85,75,2020,2
71,95,77,88,2020,3
73,82,89,85,2021,3
79,88,84,88,2019,3
75,88,91,99,2021,3
72,78,95,97,2021,3
80,94,82,88,2019,3
73,94,82,94,2018,3
77,76,90,81,2021,2
70,84,81,79,2019,2
69,94,84,85,2020,3
63,76,75,78,2018,2
80,93,77,93,2021,3
77,78,93,89,2019,3
79,82,88,77,2021,2
78,91,93,96,2019,3
79,95,79,94,2020,3
61,80,84,93,2020,3
74,89,79,94,2018,3
66,90,80,89,2019,3
75,93,82,82,2019,2
64,88,78,93,2021,3
80,80,95,96,2020,3
